Style,Yarn,Percentage,This Week,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Later,Total
CEE4681A/1,18939,30.28,19.7,,,,,,,,,,19.7
CEE4681A/1,18941,33.97,22.1,,,,,,,,,,22.1
CEE4682A/1,18569,4.36,4.9,,,,,,,,,,4.9
CEE4682A/1,18937,31.39,35.2,,,,,,,,,,35.2
CEE4682A/1,18939,30.28,33.9,,,,,,,,,,33.9
CEE4682A/1,18941,33.97,38.0,,,,,,,,,,38.0
CEE4683A/1,18569,4.36,0.5,,,,,,,,,,0.5
CEE4683A/1,18937,31.39,3.8,,,,,,,,,,3.8
CEE4683A/1,18939,30.28,3.6,,,,,,,,,,3.6
CEE4683A/1,18941,33.97,4.1,,,,,,,,,,4.1
CEE4687A/1,18232,59.95,30.0,,,,,,,,,,30.0
CEE4687A/1,18376,20.02,10.0,,,,,,,,,,10.0
CEE4687A/1,18868,20.02,10.0,,,,,,,,,,10.0
CEE4688A/1,18232,59.95,30.0,,,,,,,,,,30.0
CEE4688A/1,18376,20.02,10.0,,,,,,,,,,10.0
CEE4688A/1,18868,20.02,10.0,,,,,,,,,,10.0
CF5092/1,18845,100,"3,056.7","1,713.9",,,,,,,,,"4,770.6"
CF5127/U,18526,71.3,"1,856.4",549.2,,,,,,,,,"2,405.6"
CF5127/U,18865,28.7,747.3,221.1,,,,,,,,,968.3
CF5128/0,18228,27.9,36.9,,,,,,,,,,36.9
CF5128/0,18526,72.1,95.5,,,,,,,,,,95.5
CF5261/STR,18903,100,,,,"5,215.6","5,215.6","5,215.6","5,215.6","5,215.6","1,197.8",,"27,275.8"
CF5321/F1925,18517,84.7,176.3,,,,,,,,,,176.3
CF5321/F1925,18974,15.3,31.8,,,,,,,,,,31.8
CF5321/JAN9,18517,84.7,81.7,,,,,,,,,,81.7
CF5321/JAN9,18974,15.3,14.7,,,,,,,,,,14.7
CF5405/0,13561,2.7,,,,,,,,,,,0.0
CF5405/0,18811,97.3,,,,,,,,,,,0.0
CF5424/0,13561,1.5,,,,,,,,,,,0.0
CF5424/0,18573,45.3,,,,,,,,,,,0.0
CF5424/0,18804,53.2,,,,,,,,,,,0.0
CF5432/0,13561,2,0.0,,,,,,,,,,0.0
CF5432/0,18573,20.7,0.2,,,,,,,,,,0.2
CF5432/0,18732,26.8,0.3,,,,,,,,,,0.3
CF5432/0,18804,50.5,0.6,,,,,,,,,,0.6
CF5433/0,13561,2.2,,,,,,,,,,,0.0
CF5433/0,18795,44.4,,,,,,,,,,,0.0
CF5433/0,18804,53.4,,,,,,,,,,,0.0
CF5434/0,13561,2.1,0.0,,,,,,,,,,0.0
CF5434/0,18573,21.8,0.1,,,,,,,,,,0.1
CF5434/0,18804,76.1,0.2,,,,,,,,,,0.2
CF5439/0,18811,50,1.6,,,,,,,,,,1.6
CF5439/0,18813,50,1.6,,,,,,,,,,1.6
CF5439/BKT2,18811,50,,,,,,,,,,,0.0
CF5439/BKT2,18813,50,,,,,,,,,,,0.0
CF5446/0,13794,29.2,,,,,,,,,,,0.0
CF5446/0,18573,20.4,,,,,,,,,,,0.0
CF5446/0,18732,28.8,,,,,,,,,,,0.0
CF5446/0,18763,21.6,,,,,,,,,,,0.0
CF5451/0,13561,3.3,0.0,,,,,,,,,,0.0
CF5451/0,18774,96.7,0.3,,,,,,,,,,0.3
CF5461/1,13561,2.9,,,,,,,,,,,0.0
CF5461/1,14242,32.7,,,,,,,,,,,0.0
CF5461/1,18419,20.7,,,,,,,,,,,0.0
CF5461/1,18573,43.7,,,,,,,,,,,0.0
CF5461/2,13561,2.9,,,,,,,,,,,0.0
CF5461/2,14242,32.7,,,,,,,,,,,0.0
CF5461/2,18024,20.7,,,,,,,,,,,0.0
CF5461/2,18573,43.7,,,,,,,,,,,0.0
CF5462/0,18334,16.3,0.1,,,,,,,,,,0.1
CF5462/0,18573,82.6,0.7,,,,,,,,,,0.7
CF5462/0,18599,1.1,0.0,,,,,,,,,,0.0
CF5463/0,13561,1.7,0.0,,,,,,,,,,0.0
CF5463/0,14223,53.6,1.3,,,,,,,,,,1.3
CF5463/0,18573,44.7,1.1,,,,,,,,,,1.1
CF5464/0,13545,1.6,,,,,,,,,,,0.0
CF5464/0,18774,98.4,,,,,,,,,,,0.0
CF5466/0,19043,100,6.0,,,,,,,,,,6.0
